id,zoom,lat,lon,chapter,description,source-credit,image,source-link
1,18,-4.016409019,39.68189293,Tiba Medical Centre,Community assistance is one key strenght for this Health center.,other,img/1.jpg,image_four
2,18,-4.039375857,39.69233564,Bency chemist,Has easy access by road.,retail_chemist,img/2.jpg,image_four
3,18,-4.071159555,39.63834703,Midodoni,Easily accessible by road.,retail_chemist,img/3.jpg,image_four
4,18,-4.002018891,39.70083659,Tumaini children home outpatient clinic,Gets funding from the donors and there is availabity of essential health equipments.,private_clinic,img/4.jpg,image_four
5,18,-4.010326017,39.69442957,Mtopanga chemist,Self funded. ,retail_chemist,img/5.jpg,image_four
6,18,-4.086155953,39.66323376,MAJENGO MAPYA CHEMIST,Easy access by road,retail_chemist,img/6.jpg,image_four
7,18,-4.097089998,39.64611786,Bru-C Chemist,"Established through loan and 
Personal savings",retail_chemist,img/7.jpg,image_four
8,18,-3.964734923,39.72058222,Majaoni Chemist,Serves a large population of peole (plenty of customers).,retail_chemist,img/8.jpg,image_four
9,18,-3.964061446,39.71739767,Majaoni Health Centre,Offers lower prices and customer friendly services,private_clinic,img/9.jpg,image_four
10,18,-4.071545221,39.63833932,Mwembe Ngoma,"Quality and SwiftService Delivery, 24 Hour Clinic and Fully Stocked Drugs",private_clinic,img/10.jpg,image_four
11,18,-4.002260647,39.70360078,Kiminya chemist,Its situated in busy street opposite vescon estate.,retail_chemist,img/16.jpg,image_four
12,18,-4.062581432,39.66192676,Coast miami,Established through persoanl savings,other,img/11.jpg,image_four
13,18,-4.038757506,39.60554211,Daoneq pharmacy,"Easily accessible, serves a large market (population)",retail_chemist,img/13.jpg,image_four
14,18,-4.030409805,39.62259997,Lorvic Dermecare Medical Clinic,"Ability to satisfy patients needs.
 And has easy access by the road.",private_clinic,img/14.jpg,image_four
15,18,-4.085123731,39.65430439,Zaro Medical Clinic,"Privately Owned, Partners with the Local County Government,
Accessible by road",private_clinic,img/12.jpg,image_four
16,18,-4.038687365,39.60576957,Perazim pharmaceutical,Easily accesible and serves a market.,retail_chemist,img/15.jpg,image_four
17,18,-4.011465866,39.69418092,Jordan medical centre,Self enterprise,private_clinic,img/17.jpg,image_four
18,18,-4.000872515,39.63169126,Ganahola Chemist,"Good Stocking, No Chemist congestion",retail_chemist,img/18.jpg,image_four
19,18,-4.005830371,39.57638698,Miritini CDF dispensary,No funding other than government,dispensary,img/19.jpg,image_four
20,18,-4.056879335,39.66983591,Mwembe tayari health centre,Has a huge potential to serve the large population has limited facilities and equipement.,healthcentre,img/20.jpg,image_four
21,18,-4.090480431,39.64948858,Joan Chemist,Easily accessible by road.,retail_chemist,img/11.jpg,image_four
22,18,-4.042458027,39.68627027,Community health,Has a good relation with the community. Enjoys community support. ,private_clinic,img/12.jpg,image_four
23,18,-4.089356291,39.64840481,Soweto Chemist,Near to road and has good customer relations,retail_chemist,img/13.jpg,image_four
24,18,-4.000337295,39.63133856,Chemist,"Variety of goods, No competition",retail_chemist,img/14.jpg,image_four
25,18,-4.024689446,39.61462799,Medina medical clinic,"Friendly services,accessible,affordable",private_clinic,img/15.jpg,image_four
26,18,-4.097248605,39.64588638,Horesha Chemist,"Started as personal enterprise with loan funding
. Strategic location",retail_chemist,img/7.jpg,image_four
27,18,-3.966942428,39.72198384,Al hilal Medical Clinic,Sole Provider of delivery and maternity care in the area,private_clinic,img/8.jpg,image_four
28,18,-4.02627968,39.69397643,Kisauni Health Center,"Access to Tuberculosis drugs
Antenatal care facility
An active outpatient department
Location makes it accessible.",healthcentre,img/9.jpg,image_four
29,18,-3.998655672,39.60127517,Mikanjuni family health clinic,Easy access by road,private_clinic,img/10.jpg,image_four
30,18,-4.028265983,39.62554563,Airmed Phamacitcals,Has easy access by the road,retail_chemist,img/1.jpg,image_four
